int_col_0,float_col_1,int_col_2,float_col_3,int_col_4,float_col_5,int_col_6,float_col_7,int_col_8,float_col_9,str_col_0,str_col_1,str_col_2,str_col_3,str_col_4,str_col_5,date_col_0,date_col_1,bool_col_0,bool_col_1,id
227,698.7360342646783,544,961.7450105085144,985,91.4615659741419,498,495.81956858307785,32,379.8498238093275,RKJxhjyFnB,XIYajyMaRf,jTyFYOSgrK,TZJnnXbERt,smWrZiUKCM,pzqjaovOag,2020-08-16 17:19:20,2020-11-26 07:02:56,False,True,id_18
903,218.67134656392696,291,940.6811122820111,735,103.24891706925143,281,164.600187264208,433,480.4306032074337,AqzRQBuIqS,HWNRTIxThw,jhUvggEwdr,mTnjrPvwbx,IlBxUNOQmq,QEHZPSWjBM,2022-02-27 05:22:27,2022-07-18 20:52:01,False,False,id_19
60,800.803638131401,727,822.2855663107429,610,846.4394881542594,467,828.9942417288138,29,942.656778487874,lgeOqzylfP,asIMWmxGni,eCscqVOCyB,WejxPbklwB,lxymYqElke,pJRjYhLdjx,2021-01-30 05:38:57,2021-09-16 04:40:59,False,True,id_20
410,168.00122866012214,96,366.1638132593279,552,361.01491015366014,502,576.854387450635,926,532.6316351227146,qOlczjONzU,tudjuEiFrs,WQQctWAJgX,xrbHtLBGMv,SDHCUSkpZs,acHPpmJGOQ,2022-01-24 23:27:20,2022-12-31 22:14:04,True,True,id_21
550,385.06607896186586,132,276.5301438876999,110,885.8591601306176,318,303.2553819006674,202,700.4477300547413,GpkodZHbmd,ErgmKlHdQs,RDIUQZZaWl,lOstwvibtN,vEcnHPHerf,GcKsTdVMYc,2022-03-01 20:01:08,2021-06-30 12:05:15,True,False,id_22
798,364.2406492525767,759,388.05806430440657,893,490.2856019127386,106,915.1807506720869,628,81.16734327789233,WQqlgLtiIu,LlhWfNAtLL,KCyRMjHuFM,ObMdrVtQHE,ZFZBIEmNuC,yIeQTJjspM,2022-03-27 03:31:42,2020-01-28 03:07:01,True,True,id_23
105,750.8743940037795,929,238.18135837727183,826,959.1336268382546,761,895.883880535471,685,472.34564874550466,TIfNKqYkwC,aqyCkrajnJ,kTHCSBTbZc,zSxIrTTSuT,LdXDbgmYPe,brtSFPtMZI,2020-11-22 18:29:43,2021-04-22 07:23:46,True,True,id_24
644,1.4131405270735309,772,516.6611215101606,657,408.5765945180322,289,379.156477734991,728,718.0452592261837,tGlePVTpzI,TXMwqwYnhL,VdULyMFvCG,aVVZjBaHmH,vfvtlrblgC,QEiNKJyHem,2022-01-18 16:30:04,2022-05-20 01:41:45,False,False,id_25
297,119.99882224873981,746,185.38046920087137,381,555.3749378102568,149,957.8394030941009,559,798.0165783205521,JXGXZIoYCA,puCAcJOoEg,YgfEnOxaKT,RTEPeevrwL,hbCqOCPavP,LPptevoUda,2023-08-24 06:30:28,2021-10-09 01:50:44,False,True,id_26
569,778.0740490600997,608,719.1890121889287,227,909.5441298584564,149,20.100657638371434,949,503.21276777698466,IEBrQubAyB,EqYFJyqMDB,zIzPDLUBCv,umlZUFHhEA,HJYaamYese,cdPomNksIL,2023-06-26 11:10:22,2021-04-30 21:38:52,True,False,id_27
453,380.367964848223,945,164.31929334424245,303,312.2327965659654,611,542.2114340930056,686,12.512312005581894,oFhmFAaLyS,mtUVmxWQek,EFVJxDrGDW,eQTuSHPeBA,LpPWOPNLgH,LoYnvPVPpt,2020-09-21 17:13:50,2023-03-04 08:37:15,False,True,id_28
785,711.2075985332112,535,591.1280055721301,607,164.4838248504431,236,793.8581276814766,259,593.9782877621768,ZfPomWCfkD,nJwFJuIZmj,hJFUwEhSdp,DtvnEWVrLm,BDCmXzTgYZ,hBkVWDUfFE,2021-02-12 15:34:36,2021-06-05 17:01:54,False,True,id_29
587,423.4595645266227,908,180.47732292753693,789,896.7026487340661,272,872.989144918575,883,463.53475260151964,iFbXLJSBXm,mxjZidEEMs,BKWWppSCJB,HHhQyYdvqS,NtCJCuJRwN,VtfOMiQRCm,2023-04-13 20:17:31,2020-10-05 08:30:11,False,True,id_30
360,331.5482927068687,49,564.4677009790736,130,289.51336439157217,901,99.89733304202831,879,677.4762530402202,zXEiHkXMXU,pgyahOSzSP,jOtpJqMzSZ,FZZjLenQWy,FwlzVXCVie,kwvZUdTmLt,2021-03-14 21:33:33,2022-11-07 07:56:18,True,True,id_31
634,645.4135436669103,423,777.7067466023132,588,636.2093135538937,713,511.3492188137513,642,283.9378381293174,ixdFPjBJCQ,LywmlOGsJM,gwvGFlomAP,WESRJytfUZ,ofrUrcIIrU,CNmzsyuAke,2021-05-06 01:43:57,2023-01-10 22:32:30,False,True,id_32
841,821.7823504501753,505,435.219368595132,325,392.92167200495953,195,502.29287489675255,893,748.1743752959171,jgfZumPkss,GQnJRYKQLa,WYyhVGXRII,gJZRMreeNL,aNIWmAyMMf,ovEGeBvqZl,2022-11-18 00:13:44,2021-12-04 05:22:28,True,False,id_33
993,826.4122937493313,473,534.1106650337566,14,921.6876563809009,104,639.5087686404361,771,515.8432552120197,DWKxYMtvsl,GRHUCslXTf,QQGgiuPROd,SFxDryaTgy,xTMAMCpcdy,oslYMxuHwM,2023-03-31 16:53:07,2023-09-27 10:00:22,False,True,id_34
42,802.2446884405343,721,710.0106453407413,692,37.89596256439809,661,113.43503791943088,842,134.61774563630914,ehMYeDqRxq,hMDDfqhuzK,GaLnktfUTc,DTQxCZMkSc,BqSxaxhElO,HabOfOCDMp,2023-11-18 04:22:56,2021-06-01 02:58:09,False,True,id_35
883,821.5418031019343,105,108.22325670180844,205,239.18191726428117,118,284.86001409241214,243,495.74699941692455,qzokVkaEAF,ywxNXmAygw,KEsraBcSXR,hAILkpBMxp,neVEMyBTqf,sJWSTpqiRY,2022-03-12 10:38:01,2022-09-04 08:25:51,False,True,id_36
917,531.8397740129006,922,841.8233471904132,380,851.9078644682044,628,284.83762065636233,558,524.4886535940459,CObTLHvnpv,pcgmneNpyi,qvwXkPtopN,FMDeQPXLur,rwZptqatGX,YXHMNoxzjz,2022-08-09 13:51:16,2022-10-31 05:40:10,True,False,id_37
416,118.99036436421096,650,347.13377889304434,337,113.83919007001009,577,535.6257351172393,699,358.83717099704427,HlVDBIWqkq,SiAoGwoGly,fmfyHaxcOH,ZBrLoktDCb,VKqAPctzSp,OrdrnkmzCp,2021-07-13 01:14:52,2020-03-03 21:47:29,True,True,id_38
377,516.2015610221921,322,812.1245053386664,278,733.721264849902,363,756.5291071205845,525,510.10620689929686,puFpkhHatc,ryMLLOVExv,ATsQtXVdWo,ziaIXxiaem,YZpwGuQzZL,pcgLbwKnEs,2023-04-15 16:27:54,2021-11-04 11:07:35,False,True,id_39
79,761.4221367915039,784,78.28804280639633,708,917.6293933648428,975,885.7811707739951,866,752.2810580384277,OEzRgaEiJf,OdKWAIQSvx,AmLoKKupTh,lroHIDOBPa,jgseMdOTcM,OmNVlbagZr,2023-06-05 10:26:38,2023-11-20 00:39:57,True,True,id_40
111,315.7270264139852,895,748.5313346847539,432,758.0779519229031,387,84.62566389977077,971,177.62883226671465,DhJlHDHaSS,sGcGRBqkfR,HmhIGJzwQy,KaichHimGD,NJUhmCHeYy,doHQqAaHhE,2020-10-27 08:28:39,2021-03-15 04:30:45,False,True,id_41
93,282.8155463235855,599,911.1122492978063,156,901.3218600729059,76,307.2100039525878,538,811.0882417744673,diYqLPfPgR,wSaLBCLLIW,SvBpJPXdZf,QObgCPdpEp,TBKfpHPpow,nMnEIkJREd,2021-10-07 19:35:27,2022-07-29 10:51:35,True,True,id_42
690,30.379775326900173,475,14.633951038760085,297,317.4269839189292,87,634.7844544335609,970,575.4422091123638,dQvWdCmUrz,UNNTPYqqVI,UNvtzyOsmw,FKrGHhNeMS,ZgaeNjFgDX,exgOQpMwcl,2022-02-02 02:47:53,2023-05-07 11:30:36,False,False,id_43
3,647.3744632243206,884,122.61254851489389,154,907.8768325372569,777,820.2693029963137,486,399.1314365236206,PsKFSYCsIx,nxssNbrpPi,eLWpqcpauQ,hKpiCRqkkr,VDXUcySdAG,rTqoxFUiLW,2022-04-08 20:54:16,2023-01-27 10:08:30,False,False,id_44
67,886.8147832728705,374,700.4736469013003,749,296.66279239641426,694,996.1166751038145,671,442.17926782471807,vDySxZfnYS,gWmZUZLbTv,dtFXfcdOZW,qfuBOtyWPl,FiGkiKRDSw,cOwRfMFmtE,2023-06-12 02:59:20,2020-03-18 19:21:06,True,True,id_45
743,440.8840921351773,686,412.109072066886,310,288.15455086220135,771,663.5409176321061,458,401.0378783723911,rLOSJLeUSB,LkPJOTaejC,tiUShOckdD,SMSkiQGmvB,hgPehzpXIE,WeagCctmpv,2023-09-02 06:28:47,2020-03-15 04:02:39,True,True,id_46
118,492.04417827095557,705,46.756744157340215,656,925.8758309214064,509,792.065541989566,357,848.857070431735,rPpcbcgIMp,KVgYVWVFGR,WzNmhKnVYa,nLlcrijrGQ,VJMDYanXUF,DFiabvtaun,2023-11-15 04:31:41,2023-12-01 17:45:30,True,False,id_47
542,893.2721834622354,642,248.0472666222554,474,265.68202351149307,106,295.92039773099674,137,136.61121054014524,bzDdTyiJXU,OznoAfiyOV,dsKEJOWgKd,HPSrCUzaLR,blPhBDWHVh,iiWWtkRYlM,2023-11-24 13:05:51,2022-06-30 04:33:59,False,True,id_48
614,288.0743099609128,540,479.7761156235111,302,329.5430804067281,121,760.3117834000923,334,13.447001966273909,FZovfBaYXH,oCJflANuLF,KfcGQlFbNb,jqSLLTnlSu,JRJQQCIBzH,DPaeZkgrfl,2020-10-05 02:39:51,2023-11-08 13:52:20,True,False,id_49
914,462.37940869960215,611,107.95982104726542,395,293.57177473513076,174,451.9286103864045,196,211.84638737200845,ejMBXJeHao,CINfWLkJXy,OIpxVEhkNB,cExZmBugTz,kzyVlCexEw,MIzCMFFQBh,2020-01-29 14:20:50,2022-01-26 11:41:41,True,False,id_50
582,745.39090999505,733,498.5857171830725,769,663.3605688338027,337,309.1075270878071,631,745.0023344186296,eJmumItgsX,xvdKwSDnKS,brOUBoQHZv,ZoRYdFpCGc,GensLmYOJQ,xuXwmVWBWX,2023-08-27 17:09:48,2021-06-02 15:27:07,False,False,id_51
439,275.5233860322561,298,495.4376383861614,133,418.5993539660894,117,779.7385065564813,592,925.3512129648368,uNRjCEfmPs,osuRswDvfL,UWIizBbFTO,CZLfUDTOcy,tuanzuUZbc,yHTWdqHmVD,2022-10-25 05:13:48,2023-06-21 13:37:38,False,True,id_52
827,236.80933432531947,818,935.0579628849583,731,963.8514978007597,677,799.71637274965,751,170.7562868017837,iHCWowXgpY,MksbziXtxT,CbJEElkEZt,yiuqzaIgYF,CfdsUhSYkM,NCsOsdgUMd,2021-11-19 07:47:54,2023-02-07 02:38:43,True,True,id_53
120,796.2489048840458,832,51.59970385050272,490,398.7190000979415,41,719.0429336085148,792,713.9830012467363,obQGBbiqel,msAdFTdOpy,zjUgXxNPQy,DdThswPTfb,PyIXxFWFHB,fNtwhkaNUN,2022-07-07 03:06:58,2020-10-01 05:35:22,False,False,id_54
983,948.0027255573546,963,653.8301265217656,581,520.6452048208425,25,41.462033177464996,980,680.3130710570398,xZPKwptQMt,EexxuatlBy,frquuuhhdJ,bdAwLylFZf,pDgeryUlDF,QMUWjbsCxH,2021-12-25 13:34:26,2021-03-24 17:28:10,False,True,id_55
904,845.8321279936087,211,968.0525340968896,946,576.7840661419345,689,95.99080459806042,822,667.7692949955189,CAYfhjgorx,thjxZIBpUH,iQSrqlrkRu,QbtFfZwWUd,Rcefhwerdr,tQvVnjftBN,2022-04-03 01:09:30,2022-12-01 10:32:29,True,False,id_56
165,817.1647244827961,391,984.9225419884089,487,274.41354617301596,989,188.78279825792177,816,117.6690629333037,IlKgWqdyOI,iHqpYPracK,PxyqMrSPkh,VXRpaUtBgl,JbTIgWFPLk,dOwZQPkANs,2022-01-05 01:26:04,2020-12-02 15:19:36,True,True,id_57
136,878.1198176395693,191,822.0629243628046,547,788.1937513299839,711,925.8601341277808,546,387.245074318744,AbKWVutCpq,oQECKwncEs,YtgTzNaoom,wXSUgBCpPB,MWzRegMNOw,KzAAKRcANx,2023-12-09 10:27:50,2023-03-14 07:34:50,False,False,id_58
854,526.6599524091584,669,956.2004633869057,925,902.4638395755878,130,543.3857625349863,566,386.74588866394487,PebXeoMzBm,ATmNNeTPBy,asmkZBedCp,sPBRfLRlsx,HMxgTnwHdp,bpYmTbYbAX,2020-10-11 02:12:49,2023-02-21 10:23:28,True,False,id_59
606,263.7062436007954,421,913.3886346021498,763,730.5060585410948,589,775.0808308841268,489,239.69422983234412,sUBiqQyHte,NFSvqmWhaY,TrWrTLfKaw,WCLBdUrCOo,jzbhzQTwKE,vJftFNCgxx,2020-03-25 02:37:06,2021-01-01 23:08:23,True,False,id_60
19,732.9008928789757,306,438.40210464537796,608,280.7476331397889,843,960.3684991886086,56,536.31750791191,JIoYvCVSfn,SktMuGcOlE,vonwUzvwJp,mZwtweHPht,EUVqBHiprH,QzEgWwfXuF,2020-02-08 11:21:12,2022-03-23 23:48:57,False,False,id_61
999,433.1574708355954,946,51.281294987128746,866,286.69448636833795,97,55.9643119047063,378,690.1924361949824,WmOfxZcGTQ,SLjfmZbtNC,bQtihwRolF,xvTFlMLBWt,KGSrfixGgp,uQDmGwkKhC,2022-01-02 12:31:44,2022-05-16 08:17:21,True,True,id_62
75,673.3445037269985,896,114.86688179880511,225,210.7660764717344,468,632.0954274728599,275,42.87853800698693,CgiklPCtre,qEQhvbtlpR,BEmHcrRTXC,VOwBkgZwFa,RgnMmHkJhv,ynWUnygcyP,2020-04-06 16:19:42,2021-01-28 11:36:44,True,False,id_63
595,292.4077182632394,466,449.5142465652766,42,187.5295447711307,464,603.3641831416074,825,488.59752845961145,UWlRPOgLse,NbyifqsyAF,sUtuUSUPKL,oNYnIRLtig,sIWaTHLNpK,qNlagbdAkg,2023-11-13 09:01:51,2023-02-11 20:59:01,False,False,id_64
208,874.7345493179707,832,253.81729852871672,897,522.9653269488498,53,342.9399867651395,48,766.9780326629775,mwDWurKVoX,NTVPJPbzUq,NDtOFxDLid,oqGDLkgmjb,xGnKQZqBAo,ETEDWZOxEq,2022-09-02 08:17:26,2020-10-02 02:49:25,False,True,id_65
145,187.47214000391978,987,270.79534574337663,535,259.57073332260813,864,608.2080610664436,397,234.2708395213784,ElpnIMWvxR,oaCUQEDFGR,wqmflqrPwO,AkMyuHsCHh,oaejJAYyJv,YXDlRMTtJg,2022-08-13 01:07:36,2020-10-19 00:10:50,True,True,id_66
268,801.618083166954,701,737.0171446725211,4,261.55152279438573,343,11.791153923156884,560,199.029764310798,fUXhOCNTph,QyPazcWShR,ygfywubaoN,gfLPPMQTvs,GeixVnQqOx,aXNssJqPIJ,2023-08-17 08:40:51,2023-02-27 05:30:15,False,True,id_67
736,975.8105356432343,266,940.3119233438298,271,984.4978024360546,151,815.9020545194134,318,874.5688110675086,HurlVeHqra,RxVuZgzsFK,babZhJxJqB,vMfEZkdgfd,nhDTKFknEH,lyJrqxIphw,2020-04-02 04:06:20,2020-03-28 22:37:44,False,True,id_68
940,679.0835019247847,990,352.6795641189716,441,387.69393840213974,664,436.4617018815974,660,400.60350143071554,zpuYJYooCU,fcJmUezReN,qTVuVsmbep,wcTBSVDNlS,UDxETdHYTF,bqIBXbTkHy,2023-07-15 17:18:33,2021-09-15 14:09:57,True,True,id_69
595,204.57012267141818,128,331.6800471588549,866,539.067450643362,732,525.3831112687782,498,53.89345041348459,oQlnefffnK,JChuVDXmOv,uDRFhmaNQH,PzflMxxKBN,mpLHyJNfOt,xmGbhsnooc,2022-07-15 23:31:05,2022-10-01 18:27:15,True,True,id_70
6,623.8050863132877,265,481.67215508549566,692,563.2285429746032,113,335.23514195171447,86,110.77163194801531,XpRlqVWMDM,XwhpNtdPQk,ttoRKTMdnx,pxQfbWDnkF,lwjYYxCWRv,QFsJNydUvB,2021-07-12 01:24:16,2020-02-27 01:13:54,False,True,id_71
720,730.2169669024325,69,218.26842999936702,291,976.6788232610706,239,630.9391807114305,162,891.171611951494,mMzkbRqOuz,GvbzDGYmHm,KjQmwkoONj,EdNwQvfugR,pjhIUjOxWo,FeCffxdtyF,2023-11-27 19:42:36,2022-12-04 13:15:11,False,False,id_72
212,154.83990503427236,394,262.8755306766497,442,423.1999065766513,874,834.613719497728,819,902.4348387274702,wnuCIewzmQ,RoPjIHFSQF,HbQlvkSHMi,rDarVPDFsv,kIQJWJkLhs,lvGdUnpySo,2020-12-03 22:00:37,2021-12-07 13:12:40,True,False,id_73
451,235.25644995458006,842,161.40151630737165,447,602.9075499319747,275,779.6968765636276,756,159.80991242837538,ZVoJVPASYt,ioVuLJuSAF,DemtCgdDFe,CWTHHLWgpz,ClcKvItYER,pRoWbeQZUy,2021-09-27 19:19:29,2022-11-22 10:28:21,False,True,id_74
630,291.82833431568065,483,191.37668036456645,404,914.4726715710651,613,961.1686244008752,592,306.55151137456096,SsWvJGbLtX,xPNyZNcxgB,yBjjGJgXEm,XSIGbVjgfm,evTeXPVzZq,VRkMPYMmwG,2022-09-10 00:04:08,2020-03-09 16:09:00,False,True,id_75
800,985.5938583260679,251,398.8016279764669,53,812.8188738518026,585,287.69448764002834,544,161.14114106080646,BzREiATOpF,YNVhykVpCA,BlLBHvlTwf,vSvjntiUID,ldvZlVBdKb,RwpJVTuFAs,2020-06-23 16:51:26,2023-10-15 16:09:05,True,False,id_76
371,698.712525998011,193,554.256521686814,95,291.78215551037965,985,948.7338992798428,476,169.03701271225347,fGiujvaDux,sAhdDtMngh,PPzERksrWp,nvHWQFVnsR,pxSuIFocmQ,fwnQIxgahE,2022-06-25 09:47:23,2020-08-13 03:12:32,True,False,id_77
112,187.65500867970943,552,20.575339477844068,743,92.10838809513456,650,861.3139175226983,759,562.308855516972,SVAKhoBeoE,TvWlLzLxBz,fghcmHVRAy,iBjoANFBhD,jkBoauWKpB,OJEEqvmRLt,2023-07-13 10:31:05,2023-08-24 15:47:08,True,False,id_78
522,888.3678870018342,978,648.1289353082329,947,449.73068513201673,518,712.2970731107995,989,292.4960773776053,xOaRQjODCA,YKaKDWEJkt,tjzrTSTXKB,YUfTmNlysq,PEAEWWMApZ,SqmgKcVaQI,2023-07-14 21:39:02,2023-12-02 11:55:36,False,True,id_79
681,572.6137867057472,149,662.7434454597282,620,690.0596185558181,1,489.29681677142423,413,684.6650445479894,lKFBrovmab,vVmCmNvCuR,KOWcTIxGMN,IZQKfwCRBC,JOUcFwXjQM,kmgLGRywnH,2023-11-21 12:40:00,2022-04-17 23:21:53,False,False,id_80
491,921.9143232781291,298,613.4527279378894,288,87.7488087645053,241,124.43953739590607,197,172.90558663696277,xBLOBjbZfB,MWdprQHTCB,UAYwMOCFbg,TzQAnnSmXd,CAjoHEkGGn,NgsDINaOiy,2021-01-11 22:33:21,2022-03-22 10:42:52,True,True,id_81
496,36.624790401941,675,610.2963006159378,192,886.7484774932097,75,729.638204446101,870,251.95177510905074,NyCupsNzHr,VzfLWEQYoj,vXVwTrhjzc,sEQUvkzaWF,NQXZwRuscH,HCMjIVKbKK,2023-03-06 05:14:31,2020-04-19 15:14:47,False,True,id_82
815,1.8891888792733624,723,288.2821992440555,51,929.432204443091,37,850.0342423943208,535,520.3948073098404,xLYTccJKyF,nWemlTDAVt,PPIeaFgnWz,jnsyFWOVwx,PUEFeVMGRJ,VImuoPoiXT,2020-03-06 23:14:55,2023-02-07 11:54:38,False,False,id_83
262,154.358100246747,98,849.2351926581111,81,630.3328873149086,646,674.3709920684851,358,479.46580828624263,tmmzyxNpCr,LWqOgDiegn,yBcoVXHkdV,FUxOjCqGWp,uoZwbaQbgJ,lZdShgtuZK,2021-08-25 08:48:00,2023-03-27 03:09:10,False,True,id_84
365,746.996554561326,871,510.5394304024615,919,646.1945089272613,955,55.12505229047016,384,387.2581359494328,jMvYHmVaFQ,lKfGaQAuJE,IsNepAzFqL,TMUfMtDMso,PoKHNHJpGt,QskKKagTBG,2020-05-14 09:50:32,2020-02-28 19:05:35,False,True,id_85
142,450.69726166821334,758,492.38935132509675,419,202.59205702894445,774,494.0083390691904,990,270.4685453223681,YsHziJojKS,UCmKyuEyjK,UPEQPpOqdW,xiKhlnBxTR,KCwBZIlHnI,VovWNZBLOt,2023-08-20 17:11:01,2023-12-22 05:30:02,False,True,id_86
357,49.013474249488986,801,757.2565018250256,861,986.7828106116636,685,800.9329858063398,255,946.7391137344849,DNEFtWPIuz,YvaJCVoXYq,AJqLnzkvzB,IKrGMJwRri,CpUYKwLkNF,WaVDFOcqAm,2021-07-24 15:27:08,2023-07-08 17:47:44,False,True,id_87
200,252.82482736119917,697,817.2682914564682,567,763.2364681044876,342,953.9500573874014,718,350.83220625882814,yAvkJgJLsy,aDCGrcUJoP,XPaAmvWEpm,KxtqxlPaDL,eURQgcpqyA,PBwiuQsCkK,2022-09-26 23:23:31,2023-09-14 02:42:03,True,False,id_88
662,411.77005474360385,71,447.7261259951446,760,710.6197968706037,220,974.0705196422313,736,978.1117725360506,ALdnLdnjjZ,IgscYKVJvQ,ehNVHDNMZk,TrSTbOXNCX,gcZcvSLCBr,YjAVswmPTF,2020-03-01 18:48:40,2020-12-08 01:58:25,False,True,id_89
427,944.5459651187264,910,977.7159176278922,980,687.5959516517328,976,620.5566581371422,937,586.4015289844388,BvpbNlUJKq,CiCTtrmOlX,pxAyRKKEOT,gdIgZKIrLH,PfRgBwYlhG,OHIheQTbuO,2020-03-24 16:33:11,2022-12-21 12:37:47,True,True,id_90
916,551.5043045191037,130,469.6976931790461,228,511.1802459198368,1,426.8354944084689,438,345.42100352584936,NkPwRVAfny,TBtKMYrBkL,ECTTsohHsV,BVIQIEJCjF,tSgERGxqKW,MoPmczqdFY,2021-02-10 02:08:46,2022-08-23 16:46:55,True,False,id_91
510,870.8138344338814,502,526.0455297388588,995,858.4679315642691,292,487.9003058073728,422,688.1701094026557,lDZzOTYKSh,qVgygWautm,UCOKyIHhSp,EtFSpCnffl,JMSRMSOkWy,lkNguoRgWj,2020-07-16 08:09:17,2020-01-28 14:59:45,False,True,id_92
321,590.8308925961306,468,951.2470778339731,393,178.5141802325395,492,787.9939675113258,739,481.9438163307661,omZhFZUOvv,pZGihVRXbN,nbhhqbEJFn,YureVBGUtT,pcmZmzoNcl,mhWYNidUqq,2020-06-19 05:17:03,2023-07-10 21:37:27,True,True,id_93
